"Id","age","expInYears","licenseNo","mobNo","name","rating","addressId","driverInsuranceId"
773,48,4,7198,"6-(953)385-2154","Kathryn Cunningham",2,1,1
373,47,15,20138,"7-(731)058-3936","Lillian King",1.6,2,2
868,27,21,65269,"5-(086)979-6365","Christina Weaver",4.5,3,3
942,43,9,58338,"7-(886)499-9386","Louis Little",3.1,4,4
149,49,20,44886,"3-(467)425-7401","Martha Ellis",3.3,5,5
532,50,14,42692,"5-(252)048-0908","Helen Wells",2.6,6,6
750,27,3,107431,"4-(430)653-2652","Angela Armstrong",1.1,7,7
337,50,12,40114,"8-(906)066-9712","Jean Edwards",1.7,8,8
252,32,15,21618,"2-(548)260-4198","Steve Harris",3.6,9,9
73,41,25,38857,"0-(475)307-3612","Todd George",2.2,10,10
54,31,2,28540,"0-(016)625-4751","Theresa Kelley",1.3,11,11
23,38,4,92640,"4-(415)895-0769","Ann Clark",3.3,12,12
200,29,6,2191,"7-(779)502-5530","Bruce Fowler",1.2,13,13
62,30,22,7269,"9-(004)096-4272","Ann Stewart",1.8,14,14
633,33,21,66405,"6-(270)697-7358","Antonio Hunter",2.8,15,15
689,46,21,98699,"3-(741)505-7254","Andrew Kelly",4.7,16,16
887,28,6,103592,"0-(161)618-0975","Karen Peters",3.1,17,17
914,25,10,67486,"7-(068)087-6009","Daniel Ellis",2.9,18,18
764,44,14,2403,"0-(523)502-2692","Willie Hamilton",2.4,19,19
398,42,4,16941,"0-(088)752-2537","Gerald Boyd",1.6,20,20
49,40,24,24099,"3-(523)937-4503","Barbara White",1.7,21,21
386,39,12,82178,"0-(611)939-5732","Marilyn Carpenter",3.6,22,22
40,25,12,9937,"2-(667)424-2718","Steven Perry",4.3,23,23
313,32,21,2976,"2-(860)303-7990","Kevin Grant",3.6,24,24
383,28,15,56961,"1-(374)456-8382","Brenda Burton",3.7,25,25
374,50,23,106230,"9-(456)559-2149","Christine Berry",1.6,26,26
165,35,13,63787,"6-(590)032-5180","Nancy Rivera",3.7,27,27
594,31,22,64723,"3-(225)043-8922","Adam Stanley",1.9,28,28
887,35,8,72300,"0-(655)926-8878","Martha Patterson",3.8,29,29
164,33,9,74086,"7-(561)286-1255","Jose Russell",1.5,30,30
768,30,7,109700,"5-(601)185-7987","Ronald Watson",3,31,31
268,46,13,24749,"5-(842)216-6169","Jesse Ward",2,32,32
877,50,22,102376,"5-(396)030-5898","Ashley Nelson",3.9,33,33
123,40,22,53239,"4-(564)054-9645","Michelle Jones",2.3,34,34
900,42,24,2739,"6-(035)760-5207","Aaron Brooks",4.6,35,35
773,46,9,72694,"9-(197)640-1882","Gregory Warren",1.6,36,36
149,40,14,98195,"6-(157)288-0292","Robin Welch",4.7,37,37
581,35,12,104700,"1-(716)438-3563","Shirley Robertson",2.4,38,38
212,31,11,29958,"0-(722)197-8611","Marilyn James",3.1,39,39
927,46,20,32937,"6-(006)352-1545","Walter Fox",3.1,40,40
386,32,8,1003,"2-(172)996-3419","Linda Washington",4.4,41,41
373,34,19,70625,"7-(090)280-7968","John Torres",1.6,42,42
364,45,20,20209,"4-(881)056-4199","Phyllis Fernandez",3.6,43,43
355,31,12,98033,"0-(491)430-6878","Virginia Kim",1.8,44,44
572,47,21,1192,"3-(979)062-4284","Linda Jordan",2.4,45,45
897,37,17,1178,"5-(842)184-6519","Benjamin Greene",4.6,46,46
71,30,15,105417,"9-(194)467-7848","Angela Harrison",1.3,47,47
983,41,14,97803,"7-(698)268-0493","William Perkins",3.5,48,48
268,36,22,70848,"7-(924)068-8718","Aaron Anderson",4.7,49,49
562,26,6,86184,"7-(777)563-6955","Charles Snyder",3.5,50,50
561,32,19,97362,"3-(676)697-0644","Brandon Riley",4.9,51,51
846,29,13,28163,"0-(772)888-2130","John Torres",4.7,52,52
61,49,6,54586,"2-(724)792-6093","Anthony Dixon",1.9,53,53
398,29,16,108778,"8-(182)715-2041","Mildred Nichols",1.3,54,54
120,43,23,64407,"7-(107)938-1893","Marie Coleman",1.1,55,55
838,44,14,29104,"3-(114)213-9786","Michael Cook",2.5,56,56
103,34,11,11087,"2-(070)455-6278","Joan Gordon",4.7,57,57
164,39,22,98625,"8-(252)129-6588","Deborah Stanley",2.6,58,58
804,33,1,64256,"4-(904)740-3634","Diane Peters",3.7,59,59
825,37,9,12361,"6-(544)872-2491","Pamela Mason",1.1,60,60
221,27,11,87425,"8-(119)976-4858","Paula Richards",4.1,61,61
901,39,25,84856,"4-(542)837-8139","Judith Weaver",2.7,62,62
720,33,18,95264,"2-(147)622-3547","Ronald Grant",4.9,63,63
756,28,10,52555,"3-(694)768-6472","Roger Griffin",2.1,64,64
146,32,24,66365,"5-(072)162-1544","Ryan Wagner",2.3,65,65
123,36,5,55553,"3-(979)236-0182","Ruby Rice",4.5,66,66
942,41,12,2160,"7-(220)780-7379","Janice Matthews",2.3,67,67
398,48,16,42595,"4-(886)522-6333","Angela Ford",3.9,68,68
50,43,15,41305,"5-(217)232-6608","Margaret Young",2.1,69,69
835,28,8,13259,"4-(833)492-2082","Janice Bailey",3,70,70
556,29,23,72788,"5-(085)216-4720","Samuel Watson",4.5,71,71
103,25,16,94029,"9-(261)491-1692","Pamela Jones",2,72,72
602,45,8,30425,"0-(365)426-2158","Joshua Carr",3.4,73,73
900,29,14,98625,"0-(028)888-7557","Amanda Bradley",4.3,74,74
168,37,14,57753,"1-(321)645-8804","Edward Snyder",4.7,75,75
355,45,21,55157,"2-(505)673-6852","Craig Ryan",3.6,76,76
532,43,25,42158,"1-(782)838-3188","Margaret Dunn",1.7,77,77
983,26,8,94120,"5-(914)773-2763","Juan Gonzales",2.1,78,78
97,39,8,11302,"5-(752)559-5197","Billy Perez",3.6,79,79
23,43,8,73397,"6-(573)298-0271","Anna Lopez",1.6,80,80
571,42,24,57494,"1-(731)329-0632","Gloria Richards",4.9,81,81
706,46,23,7551,"0-(941)676-6746","John Cooper",3.3,82,82
764,27,15,76755,"6-(154)138-2176","Richard Hawkins",2.3,83,83
764,37,11,56870,"3-(885)043-9711","Walter Lewis",1.7,84,84
689,45,7,47546,"5-(774)372-1931","Arthur Dean",2.2,85,85
291,36,14,108473,"9-(560)169-2693","Evelyn Diaz",3.4,86,86
